date,period,bin,count
2020-11-17,afternoon_commute,10-15,84
2020-11-17,afternoon_commute,15+,39
2020-11-18,morning_commute,0-5,266
2020-11-18,morning_commute,5-10,100
2020-11-18,morning_commute,10-15,66
2020-11-18,morning_commute,15+,0
2020-11-18,off_peak,0-5,798
2020-11-18,off_peak,5-10,421
2020-11-18,off_peak,10-15,156
2020-11-18,off_peak,15+,17
2020-11-18,afternoon_commute,0-5,428
2020-11-18,afternoon_commute,5-10,294
2020-11-18,afternoon_commute,10-15,97
2020-11-18,afternoon_commute,15+,15
2020-11-19,morning_commute,0-5,222
2020-11-19,morning_commute,5-10,192
2020-11-19,morning_commute,10-15,27
2020-11-19,morning_commute,15+,0
2020-11-19,off_peak,0-5,748
2020-11-19,off_peak,5-10,397
2020-11-19,off_peak,10-15,139
2020-11-19,off_peak,15+,31
2020-11-19,afternoon_commute,0-5,386
2020-11-19,afternoon_commute,5-10,219
2020-11-19,afternoon_commute,10-15,110
2020-11-19,afternoon_commute,15+,47
2020-11-20,morning_commute,0-5,258
2020-11-20,morning_commute,5-10,190
2020-11-20,morning_commute,10-15,17
2020-11-20,morning_commute,15+,0
2020-11-20,off_peak,0-5,725
2020-11-20,off_peak,5-10,403
2020-11-20,off_peak,10-15,123
2020-11-20,off_peak,15+,56
2020-11-20,afternoon_commute,0-5,411
2020-11-20,afternoon_commute,5-10,298
2020-11-20,afternoon_commute,10-15,71
2020-11-20,afternoon_commute,15+,39
2020-11-23,morning_commute,0-5,235
2020-11-23,morning_commute,5-10,96
2020-11-23,morning_commute,10-15,41
2020-11-23,morning_commute,15+,32
2020-11-23,off_peak,0-5,694
2020-11-23,off_peak,5-10,555
2020-11-23,off_peak,10-15,59
2020-11-23,off_peak,15+,28
2020-11-23,afternoon_commute,0-5,475
2020-11-23,afternoon_commute,5-10,196
2020-11-23,afternoon_commute,10-15,139
2020-11-23,afternoon_commute,15+,28
2020-11-24,morning_commute,0-5,235
2020-11-24,morning_commute,5-10,78
2020-11-24,morning_commute,10-15,68
2020-11-24,morning_commute,15+,13
2020-11-24,off_peak,0-5,740
2020-11-24,off_peak,5-10,530
2020-11-24,off_peak,10-15,90
2020-11-24,off_peak,15+,15
2020-11-24,afternoon_commute,0-5,440
2020-11-24,afternoon_commute,5-10,373
2020-11-24,afternoon_commute,10-15,65
